名前,住所,お店の場所,経度,緯度
CLUBSEGA港北,神奈川県横浜市都筑区中川中央2-7-1,港北MINAMO3F,139.5755403,35.5505126
ヨドバシカメラ横浜,神奈川県横浜市西区北幸1-2-76F,,139.6199795,35.4678034
ヨドバシカメラ川崎ルフロン,神奈川県川崎市川崎区日進町1-114F,,139.6966268,35.5295268
ヨドバシカメラ上大岡,神奈川県横浜市南区上大岡西1-6-1,京急百貨店8階,139.5965309,35.4094315
ハローズガーデン海老名店,神奈川県海老名市中央2-4-1,イオン海老名店2階,139.3930927,35.450634
モラモラ東神奈川店,神奈川県横浜市神奈川区富家町1,イオン東神奈川店4階,139.6333417,35.4801588
ハローズガーデン本牧店,神奈川県横浜市中区小港町2-100-4,イトーヨーカドー本牧店2階,139.6649271,35.430499
ハローズガーデン天王町店,神奈川県横浜市保土ケ谷区川辺町3,イオン天王町店2階,139.5999759,35.4581106
エブリデイFUNハウス こころっこ橋本,神奈川県相模原市緑区大山町1-22,アリオ橋本店内2階,139.3500582,35.591021
こころっこ川崎店,神奈川県川崎市川崎区中瀬3-20,ホームズ川崎店内2Fプレビプレイランドコーナーこころっこ,139.7330136,35.5377161
こころっこ長津田店,神奈川県横浜市緑区長津田みなみ台4-6-1,スーパービバホーム長津田内2階プレビプレイランドコーナー,139.5012323,35.5202295
そごう横浜,神奈川県横浜市西区高島2-18-1,そごう横浜店8F,139.6252618,35.4656357
ピアゴ大雄山,神奈川県南足柄市関本569,,139.102474,35.3194236
ピアゴ座間,神奈川県座間市入谷1-416-2,,139.39453840000002,35.4830225
アピタ戸塚,神奈川県横浜市戸塚区上倉田町769-1,,139.5373982,35.3991877
プラサカプコン横須賀,神奈川県横須賀市若松町2-30,モアーズシティ4F,139.6700954,35.2783375
プラサカプコン磯子,神奈川県横浜市磯子区磯子1-1-1,マリコム磯子SC2F,139.6262043,35.4134262
タイトーステーション 小田原シティーモールクレッセ店,神奈川県小田原市前川120,小田原シティモールクレッセ内2F,139.1938346,35.2822335
イトーヨーカドー上永谷,神奈川県横浜市港南区丸山台1-12,,139.5722271,35.4006591
イトーヨーカドー小田原,神奈川県小田原市中里296-1,,139.1887965,35.2817576
モーリーファンタジーつきみ野3F,神奈川県大和市つきみ野町1-6-1,イオン3F,139.4576057,35.5030009
モーリーファンタジー茅ヶ崎中央,神奈川県茅ヶ崎市茅ケ崎3-5-16,イオン3F,139.4026203,35.3359947
モーリーファンタジー久里浜,神奈川県横須賀市久里浜5-13-1,イオン2F,139.7042656,35.2290472
モーリーファンタジー厚木,神奈川県厚木市中町1-5-10,イオン4F,139.3666172,35.442089200000005
ハローズガーデン湘南店,神奈川県藤沢市遠藤字滝ノ沢698-10,湘南とうきゅう2F,139.4419688,35.3715036
THE 3RD PLANET 港北ニュータウン店,神奈川県横浜市筑区中川中央1-25-1,ノースポートモール6F,139.5794032,35.5520884
(株)ヤマダ電機 テックランド川崎店,神奈川県横浜市筑区中川中央1-25-1,ノースポートモール6F,139.71795399999996,35.533558
モーリーファンタジー大和,神奈川県大和市下和田字上ノ原1216-1,イオン3F,139.4663732,35.4348754
パロ横須賀,神奈川県横須賀市本町2-1-12,ショッパーズプラザ横須賀店4F,139.6622058,35.2828267
らんらんらんどすすき野,神奈川県横浜市青葉区すすき野2-5-4,すすき野とうきゅう店2F,139.5265494,35.5768291
ビックカメラ新横浜店9Fトイズコーナー,神奈川県横浜市港北区新横浜2-100-45,新横浜中央ビル9階,139.6172055,35.5076319
ビックカメラ藤沢店,神奈川県藤沢市藤沢559,増田ビル遊行通り共同ビル6F,139.4881938,35.3395456
ビックカメララゾーナ川崎店,神奈川県川崎市幸区堀川町72-13F,トイズコーナー,139.6958661,35.5330816
イオン金沢シーサイド,神奈川県横浜市金沢区並木2-13-1,,139.640657,35.361983
イオン新百合丘,神奈川県川崎市麻生区上麻生1-19,,139.5070185,35.602538
イオン海老名,神奈川県海老名市中央2-4-1,,139.3931861,35.4507276
アル・プラザ高槻,大阪府高槻市芥川町1-2,Cー201,135.61629910000002,34.8520456
トイザらス茨木,大阪府茨木市藤の里1-7-41,茨木ショッピングプラザ1F,135.5453096,34.837598
トイザらス泉北ニュータウン,大阪府堺市中区三原台1-1-3,JOYPARK泉ヶ丘3F,135.5142368,34.4988864
ライフ西宮原,大阪府大阪市淀川区西宮原2-2-22,,135.4923517,34.73525200000001
ライフ南津守,大阪府大阪市西成区南津守6-1-75,,135.483,34.6282706
ヤマダ電機LABI千里,大阪府豊中市新千里東町1-2-20,AVソフトコーナー,135.4948608,34.8120954
ダイエー池田駅前,大阪府池田市満寿美町2-2,,135.426216,34.8205125
セガ新三国アルゴ7,大阪府豊中市神州町1-15,,135.4796816,34.738431
AGスクエア岸和田,大阪府岸和田市港緑町2-12,,135.3715001,34.4667394
レインボーランド西岸和田店,大阪府岸和田市港緑町2-1,イズミヤ西岸和田店3階,135.3713416,34.4667101
タイトーFステーション 住道店,大阪府大東市赤井1-4-3,,135.619411,34.7085893
ジョーシン新石切,大阪府東大阪市弥生町16-12,ホームセンターコーナン2F,135.6372354,34.6792573
ROCKET DRIVE泉南店,大阪府泉南市りんくう南浜3-12,イオンモールりんくう泉南2F,135.2679621,34.3810544
モーリーファンタジーりんくう泉南,大阪府泉南市りんくう南浜3-1,イオン2F,135.267887,34.3813643
モーリーファンタジー北千里,大阪府吹田市古江台4-2-50,イオン5F,135.5093283,34.8200285
モーリーファンタジー枚方,大阪府枚方市岡本町7-1-203,イオン4F,135.6465054,34.8156148
モーリーファンタジー和泉府中,大阪府和泉市肥子町2-2-1,イオン4F,135.4209081,34.4856061
らんらんらんど京橋14,大阪府大阪市都島区片町2-3-51,ダイエー京橋店4F,135.5328747,34.6962645
ビックカメラなんば,大阪府大阪市中央区千日前2-10-1,トイズコーナー,135.5026172,34.6666926
イオン布施駅前,大阪府東大阪市長堂1-8-37,,135.56360630000003,34.6656588
イオン高槻,大阪府高槻市萩之庄3-47-2,,135.6439582,34.859137
イオン大阪DC,大阪府大阪市西区千代崎3-13-1,,135.4779902,34.6704121
イオン堺北花田,大阪府堺市北区東浅香山町4,丁1ー12,135.5152639,34.5847839
イオンりんくう泉南,大阪府泉南市りんくう南浜3-12,,135.2682731,34.3812906
イオン和泉府中,大阪府和泉市肥子町2-2-1,,135.4210049,34.4856204
トイザらス木曽川,愛知県一宮市木曽川町黒田字南八ツケ池25-1,イオンモール木曽川1F,136.7747064,35.3484298
トイザらス高蔵寺ニュータウン,愛知県春日井市中央台1-1-2,高蔵寺センター内,137.0486146,35.2797847
西友LIVINザ・モール春日井,愛知県春日井市六軒屋町字東丘22,,136.9827517,35.2590077
ダイエー上飯田,愛知県名古屋市北区織部町1,,136.9282766,35.2010595
セガイオンタウン刈谷,愛知県刈谷市東境町京和1,,137.0276973,35.0393086
セガワールド上小田井mozoワンダーシティ,愛知県名古屋市西区二方町40,「mozoワンダーシティ」4F,136.8839394,35.2249542
セガイオンタウン名西,愛知県名古屋市西区香呑町6-49-1,,136.8926643,35.2042487
セガワールドセガおもしろ遊戯御殿木曽川,愛知県一宮市木曽川町黒田八ヶ池25-1,イオンモール木曽川3階,136.7746805,35.3493353
にこぱエルエルタウン岡崎店,愛知県岡崎市上和田町南天白5-1,エルエルタウン岡崎店,137.14629490000002,34.9334721
ファンタジーウエストタウン西尾店,愛知県西尾市高畠町3-23-9,ヴェルサウォーク西尾店3階,137.0600021,34.863814
ユーズランド東浦店,愛知県知多郡東浦町緒川申新田二区67-8,イオンモール東浦2F,136.974139,34.9784766
ピアゴ新城,愛知県新城市字的場25-11,,137.495129,34.903651
ピアゴ伝法寺,愛知県一宮市丹陽町伝法寺字中東畑1943,,136.8422813,35.263716
ピアゴ勝幡,愛知県愛西市勝幡町弁才天2283-60,,136.7491053,35.1939899
ピアゴ吉良,愛知県幡豆郡吉良町吉田字天笠桂16-3,,137.0631842,34.80125490000001
アピタ一宮,愛知県一宮市両郷町1-6,,136.8166206,35.3105991
アピタ西尾,愛知県西尾市高畠町3-23-9,,137.0598842,34.8637778
アピタ名北,愛知県名古屋市北区辻町9-1,,136.9226928,35.2097764
ゲームランド岡崎,愛知県岡崎市 戸崎町 字外山38-5,イオンモール岡崎シネマ館3F,137.1642928,34.9384629
プラサカプコン稲沢,愛知県稲沢市下津町地内尾張西部郡都市拠点地区13,街区 リーフフォーク稲沢201区画,136.8190552,35.2607242
トヨタ生協 本店,愛知県豊田市山之手8-92,,137.1452768,35.0525002
セイタイトー 弥富,愛知県弥富市五明1371-4,,136.7168876,35.1148825
レイク・リビン清洲店,愛知県清須市西市場5-5-3,,136.8290346,35.21894530000001
モーリーファンタジーワンダーシティ,愛知県名古屋市西区二方町40,イオン3F,136.8835556,35.2248111
モーリーファンタジー三好,愛知県みよし市三好町青木91,イオン2F,137.0795432,35.0922368
モーリーファンタジー木曽川,愛知県一宮市木曽川町黒田字南八ツヶ池25-1,イオン2F,136.7735262,35.3484123
イオン木曽川,愛知県一宮市木曽川町黒田字南八ツケ池25-1,,136.7732275,35.349179
ザ・ビッグエクストラ刈谷,愛知県刈谷市東境町京和1,,137.0276866,35.0391636
ソユープレイランドソピア御所野店,秋田県秋田市御所野地蔵田1-1-1,イオンモール秋田2F,140.1610774,39.6633486
モーリーファンタジー横手,秋田県横手市安田字向田147,イオン2F,140.5537196,39.298407
モーリーファンタジー横手南,秋田県横手市大字婦気大堤字中田4-1,SuC2F,140.5531593,39.2960086
モーリーファンタジー大館,秋田県大館市大田面238,SuC1F,140.5767599,40.2861884
イオン土崎港,秋田県秋田市土崎港南2-3-41,,140.0728694,39.7471368
イオン横手,秋田県横手市安田字向田147,,140.55366380000004,39.298946
イオン秋田中央,秋田県秋田市楢山川口境5-11,,140.1093714,39.7042318
リスチャイルドたかのす店,秋田県北秋田市栄字中綱31-1,イオンタウンたかのすSC内,140.3846074,40.2301602
わくわくランド新庄店,山形県新庄市金沢字大道上2033-4,,140.3093456,38.753313
わくわくランドくしびき店,山形県鶴岡市丸岡字鳥飼121-1,ヤマザワくしびき店内,139.8373506,38.6793869
わくわくランド中山店,山形県東村山郡中山町大字長崎新町3030-1,ヤマザワ中山店内,140.2792045,38.3277099
SOYU Game Field天童店,山形県天童市芳賀土地区画整理事業地内34,街区 イオンモール天童2階,140.363964,38.344141
ソユーゲームフィールド三川店,山形県東田川郡三川町大字猪子字和田庫128-1,イオンモール三川1F,139.83512680000004,38.8158603
モーリーファンタジー三川,山形県東田川郡三川町大字猪子字和田庫128-1,イオン2F,139.8363921,38.8162579
モーリーファンタジー天童,山形県天童市芳賀土地区画整理事業地内34,街区イオン3F,140.3639641,38.3444524
イオン三川,山形県東田川郡三川町大字猪子字和田庫128-1,,139.8366503,38.8151581
トイザらス郡山,福島県郡山市松木町2-88,,140.3878241,37.390747100000006
ヨドバシカメラ郡山駅前,福島県郡山市駅前1-16-7,,140.3875113,37.3970492
イトーヨーカドー平,福島県いわき市平6-6-2,,140.8983261,37.0576114
モーリーファンタジー鏡石,福島県岩瀬郡鏡石町桜岡375-9,SuC1F,140.3337655,37.2424652
モーリーファンタジー郡山フェスタ,福島県郡山市日和田町字小原1,イオン1F,140.3764537,37.4449071
モーリーファンタジー白河西郷,福島県西白河郡西郷村大字小田倉字岩下11-1,イオン2F,140.1777724,37.1212189
イオンいわき,福島県いわき市平字三倉68-1,,140.89862580000002,37.0507641
イオン白河西郷,福島県西白河郡西郷村大字小田倉字岩倉11-1,,140.1769072,37.1219882
ペリカンはません,熊本県熊本市南区田井島1-2-1,ゆめタウンはません内2F,130.7267145,32.7716326
トイザらス熊本南,熊本県宇城市小川町河江1-1,,130.7069921,32.5973657
イオン熊本クレア,熊本県上益城郡嘉島町大字上島字長池2232,,130.743612,32.7380003
イオン菊陽,熊本県菊池郡菊陽町津久礼2472,,130.8001872,32.8619412
イオン錦,熊本県球磨郡錦町大字西字打越715-1,,130.7958284,32.1935703
イオン八代,熊本県八代市沖町六-割3987-3,,130.5849459,32.5251179
イオン天草,熊本県天草市亀場町食場後山下740,,130.1793481,32.4345613
タイトーステーション ゆめタウン光の森店,熊本県菊池郡菊陽町津久礼3310,,130.7845845,32.8602531
ペリカンあらお,熊本県荒尾市緑ケ丘1-1-1,2Fあらおシティモール,130.4707661,32.9826824
モーリーファンタジー熊本,熊本県上益城郡嘉島町上島字長池2232,イオン2F,130.7439315,32.7380684
モーリーファンタジー天草,熊本県天草市亀場町食場後山下740,イオン2F,130.1790906,32.4345342
モーリーファンタジー八代,熊本県八代市沖町六-割3987-3,イオン2F,130.5853107,32.525335
ペリカン別府,大分県別府市楠町382-7,ゆめタウン別府内3F,131.5077475,33.2762882
ペリカン中津,大分県中津市大字島田134-1,ゆめタウン中津内3F,131.1947003,33.6026222
トイザらス大分,大分県大分市大字宮崎525,,131.6087392,33.2016426
イオン狭間,大分県由布市挾間町北方77,,131.5221072,33.2064391
イオン三光,大分県中津市三光佐知1032,,131.1938423,33.5582177
プラサカプコン大分店,大分県大分市公園通り西2-1,パークプレイス大分2F,131.655975,33.1954334
ダイエー宮崎,宮崎県宮崎市大淀4-7-30,,131.4193614,31.895434099999996
イオン延岡ニューシティ,宮崎県延岡市旭町2-2-1,,131.6702108,32.5722613
イオン宮崎,宮崎県宮崎市新別府町江口862-1,,131.4554238,31.9231764
イオン日向,宮崎県日向市大字日知屋字古田町61-1,,131.652409,32.4238405
ゲオ延岡店,宮崎県延岡市出北3-19-17,,131.6827986,32.5724608
モーリーファンタジー宮崎,宮崎県宮崎市新別府町江口862-1,イオン2F,131.4546773,31.9233814
トイザらス亀戸,東京都江東区亀戸6-31-1,,139.8290259,35.6958062
トイザらス府中駅前,東京都府中市宮町1-50,くるるB1F,139.4811146,35.671456
ヤマダ電機LABI品川大井町,東京都品川区東大井5-20-1,AVソフトコーナー,139.7357288,35.6061957
ツリービレッジ,東京都墨田区押上1-1-2,東京スカイツリータウン・ソラマチ4F,139.8118745,35.7103102
西友荻窪,東京都杉並区上萩1-9-1,タウンセブン,139.6195989,35.7051025
西友LIVINオズ大泉,東京都練馬区東大泉2-10-11,,139.5954153,35.7522403
西友河辺,東京都青梅市河辺町10-9-1,,139.2847283,35.7859929
西友光が丘,東京都練馬区光が丘5-1-1,,139.6284538,35.7597683
西友清瀬,東京都清瀬市元町1-4-5,,139.5205586,35.7733085
西友ひばりが丘,東京都西東京市住吉町3-9-8,,139.5452076,35.7507445
キデイランドヴィーナスフォート,東京都江東区青海1-3-15,ヴィーナスフォート2F,139.78066410000002,35.6253883
キデイランド光が丘,東京都練馬区光が丘5-1-1,光が丘IMA2F,139.628165,35.7597334
キデイランド二子玉川,東京都世田谷区玉川2-21-1,二子玉川ライズ・ショッピングセンター・タウンフロント6F,139.6275509,35.6126271
ダイエー西台,東京都板橋区蓮根3-8-12,,139.67458240000002,35.7863021
ダイエー練馬,東京都練馬区光が丘5-1-1,,139.628368,35.7595811
ライフ経堂,東京都世田谷区経堂5-32-6,,139.63218590000002,35.6482062
セガ東京ドームシティ,東京都文京区後楽1-3-61,,139.7533527,35.703617
セガワールド東大和,東京都東大和市桜ヶ丘1-1330-19,BIGBOX東大和1F,139.4341283,35.7331622
セガワールドドリームファクトリー,東京都武蔵村山市榎1-1-3-2059,,139.3853884,35.7468502
SEGA青梅新町,東京都青梅市新町5-3-7,プライムビル1F,139.3051038,35.78707740000001
セガワールド葛西,東京都江戸川区東葛西9-3-3,イトーヨーカドー3F,139.881876,35.6526049
セガ竹の塚,東京都足立区竹の塚6-8,,139.7927328,35.7946983
ヨドバシカメラAkiba,東京都千代田区神田花岡町1-16F,,139.7747975,35.6989284
ヨドバシカメラ錦糸町,東京都墨田区江東橋3-14-5,錦糸町ステーションビル内,139.8141309,35.6964459
ヨドバシカメラ上野,東京都台東区上野4-10-107F,ゲームフロアー,139.77444,35.7111414
ヨドバシカメラ町田,東京都町田市原町田1-1-11,B1F,139.4443567,35.5422614
ヨドバシカメラ吉祥寺,東京都武蔵野市吉祥寺本町1-19-15F,,139.5815093,35.7047592
NICOPA仙川店,東京都調布市若葉町2-2,島忠ホームズ仙川店2F,139.5867666,35.6589358
ハローズガーデン新糀谷店,東京都大田区萩中2-12-5,マルエツ新糀谷店2階,139.7328705,35.5509912
ハローズガーデン北砂店,東京都江東区北砂2-17-1,アリオ北砂店アリオモール3階,139.8258446,35.6824298
こころっこ大井町店,東京都品川区大井1-3-6,イトーヨーカドー大井町店内7階こころっこ,139.734062,35.6072003
こころっこ町田根岸,東京都町田市根岸2-18-1,アメリア町田根岸店内2F,139.4106725,35.576297
こころっこ葛西店,東京都江戸川区東葛西9-3-6,ホームズ葛西店内1Fプレビプレイランドコーナーこころっこ,139.8825216,35.6539457
アドアーズ南砂町SUNAMO店,東京都江東区新砂3-4-31,南砂町ショッピングセンターSUNAMO4階,139.8353905,35.6651002
THE 3RD PLANET 多摩センター店,東京都多摩市落合1-39-2,,139.4257059,35.6245679
キッズネスト国分寺店,東京都国分寺市南町3-20-3,国分寺エル6F,139.4802031,35.6998806
新宿京王,東京都新宿区西新宿1-1-4,京王百貨店新宿店7F,139.6991536,35.6902612
プラサカプコン吉祥寺,東京都武蔵野市吉祥寺本町1-10-1,いなりやビルB1F,139.5791085,35.7053394
田無ファミリーランド ゲームセンター,東京都西東京市西原町4-2-9,,139.5244287,35.7356986
